date,term,bid_cover,offering
2022-10-03,26-Week,2.62,42000000000.0
2022-10-11,26-Week,2.86,45000000000.0
2022-10-17,26-Week,2.66,45000000000.0
2022-10-24,26-Week,2.56,45000000000.0
2022-10-31,26-Week,2.95,45000000000.0
2022-11-07,26-Week,2.89,45000000000.0
2022-11-14,26-Week,2.86,45000000000.0
2022-11-21,26-Week,3.03,45000000000.0
2022-11-28,26-Week,2.9,45000000000.0
2022-12-05,26-Week,2.57,45000000000.0
2022-12-12,26-Week,2.66,45000000000.0
2022-12-19,26-Week,2.86,45000000000.0
2022-12-27,26-Week,2.56,45000000000.0
2023-01-03,26-Week,2.78,45000000000.0
2023-01-09,26-Week,2.48,48000000000.0
2023-01-17,26-Week,2.68,48000000000.0
2023-01-23,26-Week,2.76,48000000000.0
2023-01-30,26-Week,2.93,48000000000.0
2023-02-06,26-Week,2.63,48000000000.0
2023-02-13,26-Week,2.54,48000000000.0
2023-02-21,26-Week,2.71,48000000000.0
2023-02-27,26-Week,2.8,48000000000.0
2023-03-06,26-Week,2.8,48000000000.0
2023-03-13,26-Week,2.29,48000000000.0
2023-03-20,26-Week,2.87,48000000000.0
2023-03-27,26-Week,2.85,48000000000.0
2023-04-03,26-Week,2.79,48000000000.0
2023-04-10,26-Week,2.7,48000000000.0
2023-04-17,26-Week,2.78,48000000000.0
2023-04-24,26-Week,2.77,48000000000.0
2023-05-01,26-Week,2.6,48000000000.0
2023-05-08,26-Week,2.83,48000000000.0
2023-05-15,26-Week,2.61,51000000000.0
2023-05-22,26-Week,2.96,54000000000.0
2023-05-30,26-Week,2.58,56000000000.0
2023-06-05,26-Week,3.14,58000000000.0
2023-06-12,26-Week,3.02,58000000000.0
2023-06-20,26-Week,2.65,58000000000.0
2023-06-26,26-Week,2.73,58000000000.0
2023-07-03,26-Week,3.02,58000000000.0
2023-07-10,26-Week,2.93,58000000000.0
2023-07-17,26-Week,3.05,58000000000.0
2023-07-24,26-Week,2.89,58000000000.0
2023-07-31,26-Week,2.95,58000000000.0
2023-08-07,26-Week,2.92,60000000000.0
2023-08-14,26-Week,2.78,62000000000.0
2023-08-21,26-Week,2.95,62000000000.0
2023-08-28,26-Week,3.17,62000000000.0
2023-09-05,26-Week,3.02,62000000000.0
2023-09-11,26-Week,3.15,62000000000.0
2023-09-18,26-Week,3.05,62000000000.0
2023-09-25,26-Week,2.91,62000000000.0
2023-10-02,26-Week,2.88,64000000000.0
2023-10-10,26-Week,2.79,66000000000.0
2023-10-16,26-Week,2.91,68000000000.0
2023-10-23,26-Week,2.7,68000000000.0
2023-10-30,26-Week,2.9,68000000000.0
2023-11-06,26-Week,2.92,68000000000.0
2023-11-13,26-Week,2.75,68000000000.0
2023-11-20,26-Week,2.55,68000000000.0
